"Rank","Player","Team","Bye","POS","AVG"
"384","Jarquez Hunter","LAR","11","RB100","385.0"
"385","Jeremy McNichols","WAS","7","RB101","386.0"
"386","Isaiah Hodgins","NYG","8","WR160","387.0"
"387","Tyler Johnson","DAL","14","WR161","388.0"
"388","Josh Whyle","GB","11","TE69","389.0"
"389","Kendre Miller","NO","8","RB102","390.0"
"390","Xavier Restrepo","TEN","9","WR162","391.0"
"391","Sione Vaki","DET","6","RB103","392.0"
"392","Jacob Cowing","SF","8","WR163","393.0"
"393","Mitch Tinsley","CIN","6","WR164","394.0"
"394","Caleb Lohner","DEN","10","TE70","395.0"
"395","Johnny Wilson","PHI","10","WR165","396.0"
"396","Jalin Hyatt","NYG","8","WR166","397.0"
"397","Austin Ekeler","","","RB104","398.0"
"398","Jonnu Smith","","","TE71","399.0"
"399","Ja'Lynn Polk","NO","8","WR167","400.0"
""
""
